MovieID,sum,number_of_ratings,mean,stdev,var
1,2908,698,4.166189111747851,0.8509611942635197,0.7241349541423956
2,760,235,3.234042553191489,0.9294048724774937,0.8637934169849063
3,322,110,2.9272727272727272,1.0896434136790552,1.1873227689741446
4,196,71,2.76056338028169,0.9481529221505861,0.8989939637826955
5,322,109,2.9541284403669725,0.994292239446933,0.9886170574243971
6,1199,301,3.9833887043189367,0.9072246019621136,0.8230564784053156
7,523,153,3.418300653594771,1.0362786348336666,1.0738734090127275
8,66,21,3.142857142857143,1.0141851056742202,1.028571428571429
9,70,27,2.5925925925925926,1.1183524715903526,1.2507122507122506
10,1049,303,3.462046204620462,0.893896766031537,0.7990514283216403
11,1347,355,3.7943661971830984,0.8233676410331352,0.6779342723004699
12,102,43,2.372093023255814,1.2154414407541594,1.4772978959025467
13,122,35,3.4857142857142858,1.0674716850199484,1.1394957983193277
14,171,48,3.5625,0.920366485746361,0.8470744680851066
15,107,40,2.675,1.2065526224617102,1.4557692307692305
16,783,207,3.782608695652174,0.9379211450292348,0.8796960742929509
17,1173,286,4.101398601398602,0.8866642406498412,0.7861734756471596
18,164,47,3.4893617021276597,0.9972209302450378,0.9944495837187786
19,261,112,2.330357142857143,1.1019098314768216,1.2142052767052773
20,116,47,2.4680851063829787,0.9290262276867536,0.8630897317298798
21,1613,441,3.6575963718820863,0.9011319297949099,0.8120387548958983
22,454,132,3.4393939393939394,1.050318568595027,1.1031690955355065
23,126,44,2.8636363636363638,1.1531737619103908,1.3298097251585626
24,637,195,3.2666666666666666,1.0555043093607142,1.1140893470790383
25,1251,335,3.734328358208955,1.074131349198565,1.1537581553311294
26,126,36,3.5,1.0,1.0
27,62,22,2.8181818181818183,0.9579921282290986,0.9177489177489178
28,293,71,4.126760563380282,0.84396305716015,0.7122736418511066
29,606,151,4.013245033112582,1.0455413587667548,1.093156732891832
30,94,27,3.4814814814814814,0.8024179982245189,0.643874643874644
31,162,54,3.0,1.0093898773656795,1.0188679245283017
